name,country,program_name,required_qualification,field_of_study,degree_level,min_marks_percentage_cutoff,seats_available,annual_tuition_fee_usd,min_english_test_score,application_deadline
Carnegie Mellon University,United States,Artificial Intelligence,Master's Degree,Computer Science,Master's Degree,85,15,60000,7.0,2026-12-15
Arizona State University,United States,Data Science,Master's Degree,Computer Science,Master's Degree,65,40,30000,6.5,2027-04-01
Georgia Institute of Technology,United States,Cybersecurity,Master's Degree,Computer Science,Master's Degree,72,25,35000,6.5,2027-02-01
University of Washington,United States,Computer Science,Master's Degree,Computer Science,Master's Degree,75,25,45000,7.0,2027-01-15
University of Amsterdam,Netherlands,Artificial Intelligence,Master's Degree,Computer Science,Master's Degree,68,30,20000,6.5,2027-02-01
Delft University of Technology,Netherlands,Computer Science,Master's Degree,Computer Science,Master's Degree,72,25,19000,6.5,2027-01-20
ETH Zurich,Switzerland,Computer Science,Master's Degree,Computer Science,Master's Degree,80,20,2500,7.0,2027-01-10
University of Zurich,Switzerland,Economics,Master's Degree,Economics,Master's Degree,68,25,20000,6.5,2027-02-15
KU Leuven,Belgium,Biotechnology,Master's Degree,Biotechnology,Master's Degree,65,25,7000,6.5,2027-02-01
University of Copenhagen,Denmark,Public Health,Master's Degree,Health Sciences,Master's Degree,70,20,16000,6.5,2027-01-30
Aalto University,Finland,UX Design,Master's Degree,Design,Master's Degree,65,20,14000,6.5,2027-02-10
University of Helsinki,Finland,Data Science,Master's Degree,Computer Science,Master's Degree,68,25,16000,6.5,2027-01-25
